46.229.168.133 - - [25/May/2020:18:26:21 -0700] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)" "www.vivacucina.com"
46.229.168.146 - - [25/May/2020:18:26:22 -0700] "GET /One-on-One.html HTTP/1.1" 200 16478 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)" "www.vivacucina.com"
131.106.234.80 - - [25/May/2020:18:39:40 -0700] "GET /images/kitchenmain.jpg HTTP/1.1" 200 189619 "http://vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "vivacucina.com"
131.106.234.80 - - [25/May/2020:18:39:41 -0700] "GET /images/group1.jpg HTTP/1.1" 200 36215 "http://vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "vivacucina.com"
131.106.234.80 - - [25/May/2020:18:39:41 -0700] "GET /images/kellychef.jpg HTTP/1.1" 200 46377 "http://vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "vivacucina.com"
131.106.234.80 - - [25/May/2020:18:39:41 -0700] "GET /images/chocLavaCake.jpg HTTP/1.1" 200 1050534 "http://vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "vivacucina.com"
131.106.234.80 - - [25/May/2020:18:39:41 -0700] "GET /images/gallery-img2mobile.jpg HTTP/1.1" 200 25101 "http://vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "vivacucina.com"
131.106.234.80 - - [25/May/2020:18:39:42 -0700] "GET /images/kitchenFooter.jpg HTTP/1.1" 200 189875 "http://vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "vivacucina.com"
66.249.64.18 - - [25/May/2020:18:46:54 -0700] "GET /ads.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "vivacucina.com"
207.46.13.185 - - [25/May/2020:19:06:46 -0700] "GET /images/group2.jpg HTTP/1.1" 200 36109 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.vivacucina.com"
136.243.37.219 - - [25/May/2020:19:27:19 -0700] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "vivacucina.com"
136.243.37.219 - - [25/May/2020:19:27:21 -0700] "GET / HTTP/1.1" 200 11432 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "vivacucina.com"
136.243.37.219 - - [25/May/2020:19:27:22 -0700] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "www.vivacucina.com"
136.243.37.219 - - [25/May/2020:19:27:23 -0700] "GET / HTTP/1.1" 200 11432 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "www.vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET / HTTP/1.1" 200 11432 "-" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET /css/nivo-lightbox.css HTTP/1.1" 200 5702 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET /css/nivo_themes/default/default.css HTTP/1.1" 200 2909 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET /images/kitchenmain.jpg HTTP/1.1" 200 189619 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET /images/vc_logo.png HTTP/1.1" 200 177410 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET /images/ChickenPiccata2.JPG HTTP/1.1" 200 745055 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:40 -0700] "GET /js/jquery.js HTTP/1.1" 200 95786 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:06:41 -0700] "GET /images/one-on-one.jpg HTTP/1.1" 200 151105 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
